year_week,category,total_posts,avg_sentiment,quality_posts,responses_needed,toxic_posts,misinfo_posts,week_start_date
2021-W29,basketball,1,1.0,1,0,0,0,2021-07-19
2021-W29,football,1,1.0,1,0,0,0,2021-07-19
2023-W52,football,3,0.0,0,0,0,0,2023-12-25
2025-W28,baseball,1,0.0,1,0,0,0,2025-07-14
2025-W28,football,2,0.0,2,0,0,0,2025-07-14
2025-W28,racing,1,0.0,1,0,0,0,2025-07-14
2025-W28,soccer,1,0.0,1,0,0,0,2025-07-14
2025-W42,baseball,4,0.75,4,0,0,0,2025-10-20
2025-W42,football,2,0.0,2,0,0,0,2025-10-20
2025-W42,pokemon,1,0.0,1,0,0,0,2025-10-20
2025-W45,baseball,13,0.54,13,9,0,0,2025-11-10
2025-W45,basketball,1,0.0,1,0,0,0,2025-11-10
2025-W45,card collecting,1,1.0,1,1,0,0,2025-11-10
2025-W45,football,2,1.0,2,0,0,0,2025-11-10
2025-W45,gaming,1,-1.0,0,1,1,0,2025-11-10
2025-W45,magic_the_gathering,1,0.0,1,1,0,0,2025-11-10
2025-W45,pokemon,43,0.19,33,14,0,3,2025-11-10
2025-W45,soccer,1,0.0,1,1,0,0,2025-11-10
2025-W45,tcg,7,0.0,7,7,0,0,2025-11-10
2025-W46,anime,1,1.0,1,0,0,0,2025-11-17
2025-W46,baseball,17,0.76,17,1,0,0,2025-11-17
2025-W46,basketball,6,0.67,6,0,0,0,2025-11-17
2025-W46,football,6,0.0,6,4,0,0,2025-11-17
2025-W46,gaming,5,-0.2,3,0,0,0,2025-11-17
2025-W46,hockey,1,1.0,1,1,0,0,2025-11-17
2025-W46,magic,2,0.0,0,0,0,0,2025-11-17
2025-W46,magic_the_gathering,15,0.27,11,2,0,0,2025-11-17
2025-W46,motorsport,3,-1.0,3,3,0,0,2025-11-17
2025-W46,multiple,1,1.0,1,0,0,0,2025-11-17
2025-W46,pokemon,106,0.32,76,51,5,12,2025-11-17
2025-W46,poker,1,0.0,1,0,0,0,2025-11-17
2025-W46,soccer,3,1.0,3,2,0,0,2025-11-17
2025-W46,sports,6,1.0,6,0,0,0,2025-11-17
2025-W46,tcg,33,0.55,27,4,0,0,2025-11-17
2025-W46,trading_card,11,0.18,11,3,0,0,2025-11-17
2025-W46,travel,5,1.0,5,0,0,0,2025-11-17
